"date_id","time_period","bananas_consumed","ripeness"
20240901,"Morning",4,3
20240901,"Afternoon",3,3
20240901,"Evening",3,5
20240901,"Late Night",3,1
20240902,"Morning",2,3
20240902,"Afternoon",2,3
20240902,"Evening",2,1
20240902,"Late Night",3,5
20240903,"Morning",2,3
20240903,"Afternoon",2,3
20240903,"Evening",2,3
20240903,"Late Night",3,3
20240904,"Morning",1,3
20240904,"Afternoon",1,3
20240904,"Evening",1,3
20240904,"Late Night",3,1
20240905,"Morning",1,3
20240905,"Afternoon",1,3
20240905,"Evening",1,3
20240905,"Late Night",3,3
20240906,"Morning",2,1
20240906,"Afternoon",2,3
20240906,"Evening",2,3
20240906,"Late Night",3,3
20240907,"Morning",4,1
20240907,"Afternoon",3,3
20240907,"Evening",3,3
20240907,"Late Night",3,3
20240908,"Morning",4,3
20240908,"Afternoon",3,3
20240908,"Evening",3,1
20240908,"Late Night",3,1
20240909,"Morning",2,3
20240909,"Afternoon",2,3
20240909,"Evening",2,3
20240909,"Late Night",3,3
20240910,"Morning",2,3
20240910,"Afternoon",2,1
20240910,"Evening",2,3
20240910,"Late Night",3,3
20240911,"Morning",1,1
20240911,"Afternoon",1,3
20240911,"Evening",1,5
20240911,"Late Night",3,3
20240912,"Morning",1,3
20240912,"Afternoon",1,1
20240912,"Evening",1,1
20240912,"Late Night",3,5
20240913,"Morning",2,3
20240913,"Afternoon",2,1
20240913,"Evening",2,5
20240913,"Late Night",3,1
20240914,"Morning",4,3
20240914,"Afternoon",3,3
20240914,"Evening",3,3
20240914,"Late Night",3,1
20240915,"Morning",4,1
20240915,"Afternoon",3,5
20240915,"Evening",3,1
20240915,"Late Night",3,1
20240916,"Morning",2,3
20240916,"Afternoon",2,3
20240916,"Evening",2,1
20240916,"Late Night",3,3
20240917,"Morning",2,1
20240917,"Afternoon",2,1
20240917,"Evening",2,3
20240917,"Late Night",3,1
20240918,"Morning",1,3
20240918,"Afternoon",1,3
20240918,"Evening",1,3
