"date_id","time_period","bananas_consumed","crowd_level"
20240901,"Morning",4,"Low"
20240901,"Afternoon",3,"Medium"
20240901,"Evening",3,"Medium"
20240901,"Late Night",3,"High"
20240902,"Morning",2,"Low"
20240902,"Afternoon",2,"High"
20240902,"Evening",2,"Medium"
20240902,"Late Night",3,"High"
20240903,"Morning",2,"Low"
20240903,"Afternoon",2,"High"
20240903,"Evening",2,"Medium"
20240903,"Late Night",3,"High"
20240904,"Morning",1,"Low"
20240904,"Afternoon",1,"High"
20240904,"Evening",1,"Medium"
20240904,"Late Night",3,"High"
20240905,"Morning",1,"Low"
20240905,"Afternoon",1,"High"
20240905,"Evening",1,"Medium"
20240905,"Late Night",3,"High"
20240906,"Morning",2,"Low"
20240906,"Afternoon",2,"High"
20240906,"Evening",2,"Medium"
20240906,"Late Night",3,"High"
20240907,"Morning",4,"Low"
20240907,"Afternoon",3,"Medium"
20240907,"Evening",3,"Medium"
20240907,"Late Night",3,"High"
20240908,"Morning",4,"Low"
20240908,"Afternoon",3,"Medium"
20240908,"Evening",3,"Medium"
20240908,"Late Night",3,"High"
20240909,"Morning",2,"Low"
20240909,"Afternoon",2,"High"
20240909,"Evening",2,"Medium"
20240909,"Late Night",3,"High"
20240910,"Morning",2,"Low"
20240910,"Afternoon",2,"High"
20240910,"Evening",2,"Medium"
20240910,"Late Night",3,"High"
20240911,"Morning",1,"Low"
20240911,"Afternoon",1,"High"
20240911,"Evening",1,"Medium"
20240911,"Late Night",3,"High"
20240912,"Morning",1,"Low"
20240912,"Afternoon",1,"High"
20240912,"Evening",1,"Medium"
20240912,"Late Night",3,"High"
20240913,"Morning",2,"Low"
20240913,"Afternoon",2,"High"
20240913,"Evening",2,"Medium"
20240913,"Late Night",3,"High"
20240914,"Morning",4,"Low"
20240914,"Afternoon",3,"Medium"
20240914,"Evening",3,"Medium"
20240914,"Late Night",3,"High"
20240915,"Morning",4,"Low"
20240915,"Afternoon",3,"Medium"
20240915,"Evening",3,"Medium"
20240915,"Late Night",3,"High"
20240916,"Morning",2,"Low"
20240916,"Afternoon",2,"High"
20240916,"Evening",2,"Medium"
20240916,"Late Night",3,"High"
20240917,"Morning",2,"Low"
20240917,"Afternoon",2,"High"
20240917,"Evening",2,"Medium"
20240917,"Late Night",3,"High"
20240918,"Morning",1,"Low"
20240918,"Afternoon",1,"High"
20240918,"Evening",1,"Medium"
20240918,"Late Night",3,"High"
20240919,"Morning",1,"Low"
20240919,"Afternoon",1,"High"
20240919,"Evening",1,"Medium"
20240919,"Late Night",3,"High"
20240920,"Morning",2,"Low"
20240920,"Afternoon",2,"High"
20240920,"Evening",2,"Medium"
20240920,"Late Night",3,"High"
20240921,"Morning",4,"Low"
20240921,"Afternoon",3,"Medium"
20240921,"Evening",3,"Medium"
20240921,"Late Night",3,"High"
20240922,"Morning",4,"Low"
20240922,"Afternoon",3,"Medium"
20240922,"Evening",3,"Medium"
20240922,"Late Night",3,"High"
20240923,"Morning",2,"Low"
20240923,"Afternoon",2,"High"
20240923,"Evening",2,"Medium"
20240923,"Late Night",3,"High"
20240924,"Morning",2,"Low"
20240924,"Afternoon",2,"High"
20240924,"Evening",2,"Medium"
20240924,"Late Night",3,"High"
20240925,"Morning",1,"Low"
20240925,"Afternoon",1,"High"
20240925,"Evening",1,"Medium"
20240925,"Late Night",3,"High"
